CCI_ID,NIST_53_Ref,Definition
CCI-000352,CM-5 (3),The information system prevents the installation of organization-defined critical software programs that are not signed with a certificate that is recognized and approved by the organization.
CCI-000352,CM-5 (3).1 (ii),The information system prevents the installation of organization-defined critical software programs that are not signed with a certificate that is recognized and approved by the organization.
CCI-000353,CM-5 (4),Defines system components requiring enforcement of a dual authorization for system changes.
CCI-000353,CM-5 (4).1 (i),Defines system components requiring enforcement of a dual authorization for system changes.
CCI-000354,CM-5 (4),Enforce dual authorization for implementing changes to organization-defined system components.
CCI-000354,CM-5 (4).1 (ii),Enforce dual authorization for implementing changes to organization-defined system components.
CCI-000355,CM-5 (5) (a),The organization limits information system developer/integrator privileges to change hardware components directly within a production environment.
CCI-000355,CM-5 (5).1 (i),The organization limits information system developer/integrator privileges to change hardware components directly within a production environment.
CCI-000356,CM-5 (5) (a),The organization limits information system developer/integrator privileges to change software components directly within a production environment.
CCI-000356,CM-5 (5).1 (i),The organization limits information system developer/integrator privileges to change software components directly within a production environment.
CCI-000357,CM-5 (5) (a),The organization limits information system developer/integrator privileges to change firmware components directly within a production environment.
CCI-000357,CM-5 (5).1 (i),The organization limits information system developer/integrator privileges to change firmware components directly within a production environment.
CCI-000358,CM-5 (5) (a),The organization limits information system developer/integrator privileges to change system information directly within a production environment.
CCI-000358,CM-5 (5).1 (i),The organization limits information system developer/integrator privileges to change system information directly within a production environment.
CCI-000359,CM-5 (5) (b),The organization defines the frequency to review information system developer/integrator privileges.
CCI-000359,CM-5 (5).1 (ii),The organization defines the frequency to review information system developer/integrator privileges.
CCI-000360,CM-5 (5) (b),The organization defines the frequency to reevaluate information system developer/integrator privileges.
CCI-000360,CM-5 (5).1 (ii),The organization defines the frequency to reevaluate information system developer/integrator privileges.
CCI-000361,CM-5 (5) (b),The organization reviews information system developer/integrator privileges per organization-defined frequency.
CCI-000361,CM-5 (5).1 (iii),The organization reviews information system developer/integrator privileges per organization-defined frequency.
CCI-000362,CM-5 (5) (b),The organization reevaluates information system developer/integrator privileges per organization-defined frequency.
CCI-000362,CM-5 (5).1 (iii),The organization reevaluates information system developer/integrator privileges per organization-defined frequency.
CCI-000363,CM-6 a,The organization defines security configuration checklists to be used to establish and document configuration settings for the information system technology products employed.
CCI-000363,CM-6.1 (i),The organization defines security configuration checklists to be used to establish and document configuration settings for the information system technology products employed.
CCI-000364,CM-6 a,The organization establishes configuration settings for information technology products employed within the information system using organization-defined security configuration checklists.
CCI-000364,CM-6.1 (iii),The organization establishes configuration settings for information technology products employed within the information system using organization-defined security configuration checklists.
CCI-000365,CM-6 a,The organization documents configuration settings for information technology products employed within the information system using organization-defined security configuration checklists that reflect t
CCI-000365,CM-6.1 (iii),The organization documents configuration settings for information technology products employed within the information system using organization-defined security configuration checklists that reflect t
CCI-000366,CM-6 b,Implement the security configuration settings.
CCI-000366,CM-6.1 (iv),Implement the security configuration settings.
CCI-000367,CM-6 c,Identify any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.
CCI-000367,CM-6.1 (v),Identify any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.
CCI-000368,CM-6 c,Document any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.
CCI-000368,CM-6.1 (v),Document any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.
CCI-000369,CM-6 c,Approve any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.
CCI-000369,CM-6.1 (v),Approve any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.
CCI-000370,CM-6 (1),Manage configuration settings for organization-defined system components using organization-defined automated mechanisms.
CCI-000370,CM-6 (1).1,Manage configuration settings for organization-defined system components using organization-defined automated mechanisms.
CCI-000371,CM-6 (1),Apply configuration settings for organization-defined system components using organization-defined automated mechanisms.
CCI-000371,CM-6 (1).1,Apply configuration settings for organization-defined system components using organization-defined automated mechanisms.
CCI-000372,CM-6 (1),Verify configuration settings for organization-defined system components using organization-defined automated mechanisms.
CCI-000372,CM-6 (1).1,Verify configuration settings for organization-defined system components using organization-defined automated mechanisms.
CCI-000373,CM-6 (2),The organization defines configuration settings for which unauthorized changes are responded to by automated mechanisms.
CCI-000373,CM-6 (2).1 (i),The organization defines configuration settings for which unauthorized changes are responded to by automated mechanisms.
CCI-000374,CM-6 (2),The organization employs automated mechanisms to respond to unauthorized changes to organization-defined configuration settings.
CCI-000374,CM-6 (2).1 (ii),The organization employs automated mechanisms to respond to unauthorized changes to organization-defined configuration settings.
CCI-000375,CM-6 (3),"The organization incorporates detection of unauthorized, security-relevant configuration changes into the organizations incident response capability."
CCI-000375,CM-6 (3).1 (i),"The organization incorporates detection of unauthorized, security-relevant configuration changes into the organizations incident response capability."
CCI-000376,CM-6 (3),"The organization ensures unauthorized, security-relevant configuration changes detected are monitored."
CCI-000376,CM-6 (3).1 (ii),"The organization ensures unauthorized, security-relevant configuration changes detected are monitored."
CCI-000377,CM-6 (3),"The organization ensures unauthorized, security-relevant configuration changes detected are corrected."
CCI-000377,CM-6 (3).1 (ii),"The organization ensures unauthorized, security-relevant configuration changes detected are corrected."
CCI-000378,CM-6 (3),"The organization ensures unauthorized, security-relevant configuration changes detected are available for historical purposes."
CCI-000378,CM-6 (3).1 (ii),"The organization ensures unauthorized, security-relevant configuration changes detected are available for historical purposes."
CCI-000379,CM-6 (4),"The information system (including modifications to the baseline configuration) demonstrates conformance to security configuration guidance (i.e., security checklists) prior to being introduced into a "
CCI-000379,CM-6 (4).1,"The information system (including modifications to the baseline configuration) demonstrates conformance to security configuration guidance (i.e., security checklists) prior to being introduced into a "
CCI-000380,CM-7,"Defines prohibited or restricted functions, system ports, protocols, software and/or services for the system."
CCI-000380,CM-7.1 (i),"Defines prohibited or restricted functions, system ports, protocols, software and/or services for the system."
CCI-000380,CM-7 b,"Defines prohibited or restricted functions, system ports, protocols, software and/or services for the system."
CCI-000381,CM-7,Configure the system to provide only organization-defined mission essential capabilities.
CCI-000381,CM-7.1 (ii),Configure the system to provide only organization-defined mission essential capabilities.
CCI-000381,CM-7 a,Configure the system to provide only organization-defined mission essential capabilities.
CCI-000382,CM-7,"Configure the system to prohibit or restrict the use of organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services."
CCI-000382,CM-7.1 (iii),"Configure the system to prohibit or restrict the use of organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services."
CCI-000382,CM-7 b,"Configure the system to prohibit or restrict the use of organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services."
CCI-000383,CM-7 (1),"The organization defines the frequency of information system reviews to identify and eliminate unnecessary functions, ports, protocols and/or services."
CCI-000383,CM-7 (1).1 (i),"The organization defines the frequency of information system reviews to identify and eliminate unnecessary functions, ports, protocols and/or services."
CCI-000384,CM-7 (1),"Review the system per organization-defined frequency to identify unnecessary and nonsecure functions, ports, protocols, software, and services."
CCI-000384,CM-7 (1).1 (i),"Review the system per organization-defined frequency to identify unnecessary and nonsecure functions, ports, protocols, software, and services."
CCI-000384,CM-7 (1) (a),"Review the system per organization-defined frequency to identify unnecessary and nonsecure functions, ports, protocols, software, and services."
CCI-000385,CM-7 (1),"The organization reviews the information system per organization-defined frequency to eliminate unnecessary functions, ports, protocols, and/or services."
CCI-000385,CM-7 (1).1 (ii),"The organization reviews the information system per organization-defined frequency to eliminate unnecessary functions, ports, protocols, and/or services."
CCI-000386,CM-7 (2),The organization employs automated mechanisms to prevent program execution on the information system in accordance with the organization-defined specifications.
CCI-000386,CM-7 (2).1 (ii),The organization employs automated mechanisms to prevent program execution on the information system in accordance with the organization-defined specifications.
CCI-000387,CM-7 (3),"Defines registration requirements for functions, ports, protocols, and services."
CCI-000387,CM-7 (3).1 (i),"Defines registration requirements for functions, ports, protocols, and services."
CCI-000388,CM-7 (3),"Ensure compliance with organization-defined registration requirements for functions, ports, protocols, and services."
CCI-000388,CM-7 (3).1 (ii),"Ensure compliance with organization-defined registration requirements for functions, ports, protocols, and services."
CCI-000389,CM-8 a,The organization develops an inventory of information system components that accurately reflects the current information system.
CCI-000389,CM-8.1 (ii),The organization develops an inventory of information system components that accurately reflects the current information system.
CCI-000389,CM-8 a 1,The organization develops an inventory of information system components that accurately reflects the current information system.
CCI-000390,CM-8 a,The organization documents an inventory of information system components that accurately reflects the current information system.
CCI-000390,CM-8.1 (ii),The organization documents an inventory of information system components that accurately reflects the current information system.
CCI-000390,CM-8 a 1,The organization documents an inventory of information system components that accurately reflects the current information system.
CCI-000391,CM-8 a,The organization maintains an inventory of information system components that accurately reflects the current information system.
CCI-000391,CM-8.1 (ii),The organization maintains an inventory of information system components that accurately reflects the current information system.
CCI-000392,CM-8 b,The organization develops an inventory of information system components that includes all components within the authorization boundary of the information system.
CCI-000392,CM-8.1 (ii),The organization develops an inventory of information system components that includes all components within the authorization boundary of the information system.
CCI-000392,CM-8 a 2,The organization develops an inventory of information system components that includes all components within the authorization boundary of the information system.
CCI-000393,CM-8 b,The organization documents an inventory of information system components that includes all components within the authorization boundary of the information system.
CCI-000393,CM-8.1 (ii),The organization documents an inventory of information system components that includes all components within the authorization boundary of the information system.
CCI-000393,CM-8 a 2,The organization documents an inventory of information system components that includes all components within the authorization boundary of the information system.
CCI-000394,CM-8 b,The organization maintains an inventory of information system components that is consistent with the authorization boundary of the information system.
CCI-000394,CM-8.1 (ii),The organization maintains an inventory of information system components that is consistent with the authorization boundary of the information system.
CCI-000395,CM-8 c,The organization develops an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000395,CM-8.1 (ii),The organization develops an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000395,CM-8 a 3,The organization develops an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000396,CM-8 c,The organization documents an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000396,CM-8.1 (ii),The organization documents an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000396,CM-8 a 3,The organization documents an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000397,CM-8 c,The organization maintains an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000397,CM-8.1 (i),The organization maintains an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.
CCI-000398,CM-8 d,Defines information deemed necessary to achieve effective system component accountability.
CCI-000398,CM-8.1 (i),Defines information deemed necessary to achieve effective system component accountability.
CCI-000398,CM-8 a 4,Defines information deemed necessary to achieve effective system component accountability.
CCI-000398,CM-8 a 5,Defines information deemed necessary to achieve effective system component accountability.
CCI-000399,CM-8 d,The organization develops an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountability
CCI-000399,CM-8.1 (ii),The organization develops an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountability
CCI-000399,CM-8 a 4,The organization develops an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountability
CCI-000400,CM-8 d,The organization documents an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountabilit
CCI-000400,CM-8.1 (ii),The organization documents an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountabilit
CCI-000400,CM-8 a 4,The organization documents an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountabilit
CCI-000401,CM-8 d,The organization maintains an inventory of information system components that includes organization-defined information deemed necessary to achieve effective property accountability.
CCI-000401,CM-8.1 (ii),The organization maintains an inventory of information system components that includes organization-defined information deemed necessary to achieve effective property accountability.
CCI-000402,CM-8 e,The organization develops an inventory of information system components that is available for review by designated organizational officials.
CCI-000402,CM-8.1 (ii),The organization develops an inventory of information system components that is available for review by designated organizational officials.
CCI-000403,CM-8 e,The organization documents an inventory of information system components that is available for review by designated organizational officials.
CCI-000403,CM-8.1 (ii),The organization documents an inventory of information system components that is available for review by designated organizational officials.
CCI-000404,CM-8 e,The organization maintains an inventory of information system components that is available for review by designated organizational officials.
CCI-000404,CM-8.1 (ii),The organization maintains an inventory of information system components that is available for review by designated organizational officials.
CCI-000405,CM-8 e,The organization develops an inventory of information system components that is available for audit by designated organizational officials.
CCI-000405,CM-8.1 (ii),The organization develops an inventory of information system components that is available for audit by designated organizational officials.
CCI-000406,CM-8 e,The organization documents an inventory of information system components that is available for audit by designated organizational officials.
CCI-000406,CM-8.1 (ii),The organization documents an inventory of information system components that is available for audit by designated organizational officials.
CCI-000407,CM-8 e,The organization maintains an inventory of information system components that is available for audit by designated organizational officials.
CCI-000407,CM-8.1 (ii),The organization maintains an inventory of information system components that is available for audit by designated organizational officials.
CCI-000408,CM-8 (1),Update the inventory of system components as part of component installations.
CCI-000408,CM-8 (1).1,Update the inventory of system components as part of component installations.
CCI-000409,CM-8 (1),Update the inventory of system components as part of component removals.
CCI-000409,CM-8 (1).1,Update the inventory of system components as part of component removals.
CCI-000410,CM-8 (1),Update the inventory of system components as part of system updates.
CCI-000410,CM-8 (1).1,Update the inventory of system components as part of system updates.
CCI-000411,CM-8 (2),Maintain the currency of the inventory of system components using organization-defined automated mechanisms.
CCI-000411,CM-8 (2).1,Maintain the currency of the inventory of system components using organization-defined automated mechanisms.
CCI-000412,CM-8 (2),Maintain the completeness of the inventory of system components using organization-defined automated mechanisms.
CCI-000412,CM-8 (2).1,Maintain the completeness of the inventory of system components using organization-defined automated mechanisms.
CCI-000413,CM-8 (2),Maintain the accuracy of the inventory of system components using organization-defined automated mechanisms.
CCI-000413,CM-8 (2).1,Maintain the accuracy of the inventory of system components using organization-defined automated mechanisms.
CCI-000414,CM-8 (2),Maintain the availability of the inventory of system components using organization-defined automated mechanisms.
CCI-000414,CM-8 (2).1,Maintain the availability of the inventory of system components using organization-defined automated mechanisms.
CCI-000415,CM-8 (3) (a),"Defines the frequency of employing automated mechanisms to detect the presence of unauthorized hardware, software, and firmware components within the system."
CCI-000415,CM-8 (3).1 (i),"Defines the frequency of employing automated mechanisms to detect the presence of unauthorized hardware, software, and firmware components within the system."
CCI-000416,CM-8 (3) (a),"Detect the presence of unauthorized hardware, software, and firmware components within the system using organization-defined automated mechanisms, on an organization-defined frequency."
CCI-000416,CM-8 (3).1 (ii),"Detect the presence of unauthorized hardware, software, and firmware components within the system using organization-defined automated mechanisms, on an organization-defined frequency."
CCI-000417,CM-8 (3) (b),The organization disables network access by unauthorized components/devices or notifies designated organizational officials.
CCI-000417,CM-8 (3).1 (iii),The organization disables network access by unauthorized components/devices or notifies designated organizational officials.
CCI-000418,CM-8 (4),"Include in the system component inventory information, a means for identifying by name, position, and/or role, individuals responsible and accountable for administering those components."
CCI-000418,CM-8 (4).1,"Include in the system component inventory information, a means for identifying by name, position, and/or role, individuals responsible and accountable for administering those components."
CCI-000419,CM-8 (5),The organization verifies that all components within the authorization boundary of the information system are not duplicated in other information system component inventories.
CCI-000419,CM-8 (5).1,The organization verifies that all components within the authorization boundary of the information system are not duplicated in other information system component inventories.
CCI-000420,CM-8 (6),Include assessed component configurations and any approved deviations to current deployed configurations in the system component inventory.
CCI-000420,CM-8 (6).1,Include assessed component configurations and any approved deviations to current deployed configurations in the system component inventory.
CCI-000421,CM-9 a,"The organization develops a configuration management plan for the information system that addresses roles, responsibilities, and configuration management processes and procedures."
CCI-000421,CM-9.1 (i),"The organization develops a configuration management plan for the information system that addresses roles, responsibilities, and configuration management processes and procedures."
CCI-000422,CM-9 a,"The organization documents a configuration management plan for the information system that addresses roles, responsibilities, and configuration management processes and procedures."
CCI-000422,CM-9.1 (i),"The organization documents a configuration management plan for the information system that addresses roles, responsibilities, and configuration management processes and procedures."
CCI-000423,CM-9 a,"Implement a configuration management plan for the system that addresses roles, responsibilities, and configuration management processes and procedures."
CCI-000423,CM-9.1 (i),"Implement a configuration management plan for the system that addresses roles, responsibilities, and configuration management processes and procedures."
CCI-000424,CM-9 b,The organization develops a configuration management plan for the information system that defines the configuration items for the information system.
CCI-000424,CM-9.1 (i),The organization develops a configuration management plan for the information system that defines the configuration items for the information system.
CCI-000424,CM-9 c,The organization develops a configuration management plan for the information system that defines the configuration items for the information system.
CCI-000425,CM-9 b,The organization documents a configuration management plan for the information system that defines the configuration items for the information system.
CCI-000425,CM-9.1 (i),The organization documents a configuration management plan for the information system that defines the configuration items for the information system.
CCI-000425,CM-9 c,The organization documents a configuration management plan for the information system that defines the configuration items for the information system.
CCI-000426,CM-9 b,Implement a configuration management plan for the system that defines the configuration items for the system.
CCI-000426,CM-9.1 (i),Implement a configuration management plan for the system that defines the configuration items for the system.
CCI-000426,CM-9 c,Implement a configuration management plan for the system that defines the configuration items for the system.
CCI-000427,CM-9 b,The organization develops a configuration management plan for the information system when in the system development life cycle the configuration items are placed under configuration management.
CCI-000427,CM-9.1 (i),The organization develops a configuration management plan for the information system when in the system development life cycle the configuration items are placed under configuration management.
CCI-000428,CM-9 b,The organization documents a configuration management plan for the information system when in the system development life cycle the configuration items are placed under configuration management.
CCI-000428,CM-9.1 (i),The organization documents a configuration management plan for the information system when in the system development life cycle the configuration items are placed under configuration management.
CCI-000429,CM-9 b,The organization implements a configuration management plan for the information system when in the system development life cycle the configuration items are placed under configuration management.
CCI-000429,CM-9.1 (i),The organization implements a configuration management plan for the information system when in the system development life cycle the configuration items are placed under configuration management.
CCI-000430,CM-9 c,The organization develops a configuration management plan for the information system that establishes the means for identifying configuration items throughout the system development life cycle.
CCI-000430,CM-9.1 (i),The organization develops a configuration management plan for the information system that establishes the means for identifying configuration items throughout the system development life cycle.
CCI-000431,CM-9 c,The organization documents a configuration management plan for the information system that establishes the means for identifying configuration items throughout the system development life cycle.
CCI-000431,CM-9.1 (i),The organization documents a configuration management plan for the information system that establishes the means for identifying configuration items throughout the system development life cycle.
CCI-000432,CM-9 c,The organization implements a configuration management plan for the information system that establishes the means for identifying configuration items throughout the system development life cycle.
CCI-000432,CM-9.1 (i),The organization implements a configuration management plan for the information system that establishes the means for identifying configuration items throughout the system development life cycle.
CCI-000433,CM-9 c,The organization develops a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.
CCI-000433,CM-9.1 (i),The organization develops a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.
CCI-000434,CM-9 c,The organization documents a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.
CCI-000434,CM-9.1 (i),The organization documents a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.
CCI-000435,CM-9 c,The organization implements a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.
CCI-000435,CM-9.1 (i),The organization implements a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.
CCI-000436,CM-9 (1),Assign responsibility for developing the configuration management process to organizational personnel that are not directly involved in system development.
CCI-000436,CM-9 (1).1,Assign responsibility for developing the configuration management process to organizational personnel that are not directly involved in system development.
CCI-000437,CP-1,Defines the frequency with which to review and update the current contingency planning policy.
CCI-000437,CP-1.2 (i),Defines the frequency with which to review and update the current contingency planning policy.
CCI-000437,CP-1 b 1,Defines the frequency with which to review and update the current contingency planning policy.
CCI-000437,CP-1 c 1,Defines the frequency with which to review and update the current contingency planning policy.
CCI-000438,CP-1 a,"Develop and document an organizational-level; mission/business process-level; and/or system-level contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitm"
CCI-000438,CP-1.1 (i) (ii),"Develop and document an organizational-level; mission/business process-level; and/or system-level contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitm"
CCI-000438,CP-1 a 1,"Develop and document an organizational-level; mission/business process-level; and/or system-level contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitm"
CCI-000438,CP-1 a 1 (a),"Develop and document an organizational-level; mission/business process-level; and/or system-level contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitm"
CCI-000439,CP-1 a,Disseminate an organizational-level; mission/business process-level; and/or system-level contingency planning policy to organization-defined personnel or roles.
CCI-000439,CP-1.1 (iii),Disseminate an organizational-level; mission/business process-level; and/or system-level contingency planning policy to organization-defined personnel or roles.
CCI-000439,CP-1 a 1,Disseminate an organizational-level; mission/business process-level; and/or system-level contingency planning policy to organization-defined personnel or roles.
CCI-000439,CP-1 a 1 (a),Disseminate an organizational-level; mission/business process-level; and/or system-level contingency planning policy to organization-defined personnel or roles.
CCI-000440,CP-1 a,Review and update the current contingency planning policy in accordance with an organization-defined frequency.
CCI-000440,CP-1.2 (ii),Review and update the current contingency planning policy in accordance with an organization-defined frequency.
CCI-000440,CP-1 b 1,Review and update the current contingency planning policy in accordance with an organization-defined frequency.
CCI-000440,CP-1 c 1,Review and update the current contingency planning policy in accordance with an organization-defined frequency.
CCI-000441,CP-1 b,Develop and document procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls.
CCI-000441,CP-1.1 (iv) (v),Develop and document procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls.
CCI-000441,CP-1 a 2,Develop and document procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls.
CCI-000443,CP-2 a,Develop a contingency plan for the system that identifies essential missions.
CCI-000443,CP-2.1 (i),Develop a contingency plan for the system that identifies essential missions.
CCI-000443,CP-2 a 1,Develop a contingency plan for the system that identifies essential missions.
CCI-000444,CP-2 a,Develop a contingency plan for the system that identifies essential business functions.
CCI-000444,CP-2.1 (i),Develop a contingency plan for the system that identifies essential business functions.
CCI-000444,CP-2 a 1,Develop a contingency plan for the system that identifies essential business functions.
CCI-000445,CP-2 a,Develop a contingency plan for the system that identifies associated contingency requirements.
CCI-000445,CP-2.1 (i),Develop a contingency plan for the system that identifies associated contingency requirements.
CCI-000445,CP-2 a 1,Develop a contingency plan for the system that identifies associated contingency requirements.
CCI-000446,CP-2 a,Develop a contingency plan for the system that provides recovery objectives.
CCI-000446,CP-2.1 (i),Develop a contingency plan for the system that provides recovery objectives.
CCI-000446,CP-2 a 2,Develop a contingency plan for the system that provides recovery objectives.
CCI-000447,CP-2 a,Develop a contingency plan for the system that provides restoration priorities.
CCI-000447,CP-2.1 (i),Develop a contingency plan for the system that provides restoration priorities.
CCI-000447,CP-2 a 2,Develop a contingency plan for the system that provides restoration priorities.
CCI-000448,CP-2 a,Develop a contingency plan for the system that provides metrics.
CCI-000448,CP-2.1 (i),Develop a contingency plan for the system that provides metrics.
CCI-000448,CP-2 a 2,Develop a contingency plan for the system that provides metrics.
CCI-000449,CP-2 a,"Develop a contingency plan for the system that addresses contingency roles, responsibilities, assigned individuals with contact information."
CCI-000449,CP-2.1 (i),"Develop a contingency plan for the system that addresses contingency roles, responsibilities, assigned individuals with contact information."
CCI-000449,CP-2 a 3,"Develop a contingency plan for the system that addresses contingency roles, responsibilities, assigned individuals with contact information."
CCI-000450,CP-2 a,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system disruption.
CCI-000450,CP-2.1 (i),The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system disruption.
CCI-000450,CP-2 a 4,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system disruption.
CCI-000451,CP-2 a,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system disruption.
CCI-000451,CP-2.1 (i),The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system disruption.
CCI-000451,CP-2 a 4,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system disruption.
CCI-000452,CP-2 a,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system compromise.
CCI-000452,CP-2.1 (i),The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system compromise.
CCI-000452,CP-2 a 4,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system compromise.
CCI-000453,CP-2 a,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system compromise.
CCI-000453,CP-2.1 (i),The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system compromise.
CCI-000453,CP-2 a 4,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system compromise.
CCI-000454,CP-2 a,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system failure.
CCI-000454,CP-2.1 (i),The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system failure.
CCI-000454,CP-2 a 4,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system failure.
CCI-000455,CP-2 a,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system failure.
CCI-000455,CP-2.1 (i),The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system failure.
CCI-000455,CP-2 a 4,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system failure.
CCI-000456,CP-2 a,"Develop a contingency plan for the system that addresses eventual, full system restoration without deterioration of the controls originally planned and implemented."
CCI-000456,CP-2.1 (i),"Develop a contingency plan for the system that addresses eventual, full system restoration without deterioration of the controls originally planned and implemented."
CCI-000456,CP-2 a 5,"Develop a contingency plan for the system that addresses eventual, full system restoration without deterioration of the controls originally planned and implemented."
CCI-000457,CP-2 a,Develop a contingency plan for the system that is reviewed and approved by organization-defined personnel or roles.
CCI-000457,CP-2.1 (i),Develop a contingency plan for the system that is reviewed and approved by organization-defined personnel or roles.
CCI-000457,CP-2 a 6,Develop a contingency plan for the system that is reviewed and approved by organization-defined personnel or roles.
CCI-000457,CP-2 a 7,Develop a contingency plan for the system that is reviewed and approved by organization-defined personnel or roles.
CCI-000458,CP-2 b,Defines the key contingency personnel (identified by name and/or by role) and organizational elements designated to receive copies of the contingency plan.
CCI-000458,CP-2.1 (ii),Defines the key contingency personnel (identified by name and/or by role) and organizational elements designated to receive copies of the contingency plan.
CCI-000459,CP-2 b,Distributes copies of the contingency plan to an organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements.
CCI-000459,CP-2.1 (iii),Distributes copies of the contingency plan to an organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements.
CCI-000460,CP-2 c,Coordinate contingency planning activities with incident handling activities.
CCI-000460,CP-2.2 (i),Coordinate contingency planning activities with incident handling activities.
CCI-000461,CP-2 c,Defines the frequency with which to review the contingency plan for the system.
CCI-000461,CP-2.2 (ii),Defines the frequency with which to review the contingency plan for the system.
CCI-000461,CP-2 d,Defines the frequency with which to review the contingency plan for the system.
CCI-000462,CP-2 c,Reviews the contingency plan for the system in accordance with organization-defined frequency.
CCI-000462,CP-2.2 (iii),Reviews the contingency plan for the system in accordance with organization-defined frequency.
CCI-000462,CP-2 d,Reviews the contingency plan for the system in accordance with organization-defined frequency.
CCI-000463,CP-2 e,Updates the contingency plan to address changes to the organization.
CCI-000463,CP-2.2 (iv),Updates the contingency plan to address changes to the organization.
CCI-000464,CP-2 e,Updates the contingency plan to address changes to the system.
CCI-000464,CP-2.2 (iv),Updates the contingency plan to address changes to the system.
CCI-000465,CP-2 e,Updates the contingency plan to address changes to the environment of operation.
CCI-000465,CP-2.2 (iv),Updates the contingency plan to address changes to the environment of operation.
CCI-000466,CP-2 e,"Updates the contingency plan to address problems encountered during contingency plan implementation, execution, or testing."
CCI-000466,CP-2.2 (iv),"Updates the contingency plan to address problems encountered during contingency plan implementation, execution, or testing."
CCI-000468,CP-2 f,Communicates contingency plan changes to an organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements.
CCI-000468,CP-2.2 (v),Communicates contingency plan changes to an organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements.
CCI-000469,CP-2 (1),Coordinate contingency plan development with organizational elements responsible for related plans.
CCI-000469,CP-2 (1).1,Coordinate contingency plan development with organizational elements responsible for related plans.
CCI-000470,CP-2 (2),Conduct capacity planning so that necessary capacity for information processing exists during contingency operations.
CCI-000470,CP-2 (2).1,Conduct capacity planning so that necessary capacity for information processing exists during contingency operations.
CCI-000471,CP-2 (2),Conduct capacity planning so that necessary capacity for telecommunications exists during contingency operations.
CCI-000471,CP-2 (2).1,Conduct capacity planning so that necessary capacity for telecommunications exists during contingency operations.
